,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28
104,10.0,13.0,13.0,16.0,6.0,3.0,4.0,4.0,5.0,12.0,11.0,12.0,12.0,14.0,15.0,12.0,9.0,10.0,12.0,14.0,12.0,12.0,10.0,11.0,16.0,10.0,12.0,13.0
105,9.0,13.0,12.0,16.0,5.0,3.0,4.0,5.0,5.0,13.0,17.0,14.0,13.0,13.0,12.0,12.0,9.0,12.0,11.0,11.0,13.0,11.0,12.0,11.0,12.0,11.0,14.0,11.0
106,9.0,14.0,12.0,16.0,5.0,4.0,5.0,7.0,5.0,13.0,16.0,15.0,14.0,12.0,13.0,12.0,14.0,11.0,8.0,12.0,12.0,11.0,13.0,10.0,12.0,9.0,11.0,12.0
107,9.0,14.0,12.0,14.0,4.0,5.0,5.0,7.0,6.0,13.0,18.0,14.0,11.0,11.0,11.0,11.0,15.0,13.0,12.0,11.0,12.0,11.0,14.0,9.0,13.0,9.0,11.0,13.0
108,8.0,14.0,12.0,14.0,4.0,4.0,4.0,6.0,6.0,11.0,15.0,12.0,11.0,9.0,14.0,10.0,16.0,14.0,10.0,10.0,13.0,10.0,12.0,10.0,12.0,11.0,10.0,16.0
109,8.0,14.0,11.0,14.0,4.0,5.0,4.0,4.0,8.0,14.0,12.0,11.0,9.0,10.0,12.0,10.0,14.0,11.0,10.0,10.0,10.0,13.0,14.0,12.0,12.0,13.0,10.0,14.0
110,8.0,13.0,11.0,14.0,3.0,4.0,2.0,1.0,7.0,14.0,12.0,10.0,13.0,12.0,12.0,10.0,10.0,12.0,10.0,11.0,11.0,13.0,13.0,15.0,11.0,14.0,11.0,13.0
111,9.0,13.0,11.0,13.0,2.0,3.0,4.0,1.0,7.0,15.0,14.0,13.0,13.0,13.0,12.0,14.0,9.0,9.0,10.0,7.0,13.0,14.0,14.0,11.0,5.0,14.0,12.0,11.0
112,9.0,12.0,10.0,12.0,2.0,1.0,3.0,2.0,6.0,14.0,16.0,14.0,11.0,15.0,14.0,12.0,10.0,12.0,11.0,9.0,14.0,14.0,15.0,11.0,9.0,12.0,10.0,12.0
113,9.0,10.0,9.0,11.0,4.0,1.0,3.0,1.0,7.0,12.0,16.0,16.0,10.0,12.0,13.0,10.0,12.0,12.0,14.0,9.0,14.0,12.0,13.0,8.0,8.0,14.0,11.0,10.0
114,9.0,9.0,9.0,11.0,2.0,1.0,3.0,1.0,5.0,9.0,13.0,14.0,10.0,9.0,11.0,9.0,10.0,13.0,14.0,10.0,12.0,13.0,11.0,11.0,12.0,12.0,14.0,10.0
115,8.0,9.0,8.0,11.0,2.0,1.0,4.0,1.0,5.0,13.0,13.0,14.0,7.0,8.0,10.0,10.0,9.0,12.0,14.0,11.0,12.0,11.0,10.0,12.0,16.0,10.0,15.0,7.0
116,10.0,6.0,7.0,11.0,1.0,1.0,4.0,2.0,6.0,15.0,13.0,15.0,12.0,11.0,12.0,9.0,13.0,10.0,14.0,12.0,13.0,9.0,12.0,13.0,13.0,11.0,13.0,11.0
